date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,links,notes,entry-method
2019-06-15,14:00,SW HERR RD,SW SCOGGINS VALLEY RD,Intersection/RURAL MAJOR COLLECTOR,-123.206737858,45.4850412918,0,5,0,0,0,0,ODOT,,,extract-odot.py
2019-04-25,16:00,SE TUALATIN VALLEY HY,SW CORNELIUS PASS RD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.903270104,45.4976067383,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-09-29,03:00,SUNSET HY,WB EF 185TH AVE C6,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.879936287,45.546695244,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-06-03,21:00,NW 229TH AVE,NE VININGS WY,Curve (horizontal curve)/URBAN MAJOR COLLECTOR,-122.911848398,45.5356223012,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-31,21:00,SW 185TH AVE,SW GREEN LN,Straight Roadway/URBAN MINOR ARTERIAL,-122.867612024,45.5718648126,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-07,20:00,SW FARMINGTON RD,SW RIVER RD,Intersection/RURAL MINOR ARTERIAL,-122.94750205,45.4489728567,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-11-23,13:00,PACIFIC HY I-5,NB EX L BOONES F C1,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - INTERSTATE,-122.749624073,45.38988723,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-10-18,07:00,SW 170TH AVE,SW COVENTRY DR,Grade (vertical curve)/URBAN MINOR ARTERIAL,-122.851737007,45.4776722972,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-02-15,18:00,NW BRONSON RD,NW ROSEBURG TER,Straight Roadway/URBAN MAJOR COLLECTOR,-122.850838886,45.5360333213,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-10-28,08:00,I-5,MP 287.53,Straight Roadway/URBAN PRINCIPAL ARTERIAL - INTERSTATE,-122.763351549,45.3550776739,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-12-04,17:00,SW MURRAY BLVD,SW BOWERMAN DR,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.825027255,45.5065428247,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-04,06:00,SW SAGERT ST,SW 71ST AVE,Straight Roadway/URBAN MAJOR COLLECTOR,-122.750317018,45.3754515182,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-07-15,15:00,NW DIXIE MOUNTAIN RD,NW KAY RD,Grade (vertical curve)/RURAL LOCAL,-122.977062744,45.6539757596,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-02-24,00:00,SW FARMINGTON RD,SW 198TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.881653417,45.4701023296,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-20,13:00,SW WALKER RD,SW 158TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.839608412,45.516770679,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-06-18,15:00,OR 219,MP 2.03,Driveway or Alley/RURAL MINOR ARTERIAL,-122.991030105,45.4910910792,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-02,07:00,OR 219,MP 1.26,Straight Roadway/URBAN MINOR ARTERIAL,-122.990986856,45.5020709167,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-29,09:00,SW RIVER RD,SW ROSEDALE RD,Curve (horizontal curve)/URBAN MINOR ARTERIAL,-122.931044752,45.471427261,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-03-16,16:00,NB EF GRNBRG RD C5,SW GREENBURG RD,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.778336217,45.4445437601,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-11-07,14:00,OR 8,MP 14.79,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.020645782,45.5199717354,1,3,0,0,0,0,ODOT,,,extract-odot.py
2019-05-01,18:00,SW HALL BLVD,SW CEDAR HILLS BLVD,Driveway or Alley/URBAN MINOR ARTERIAL,-122.809561523,45.494042255,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-09,14:00,SW FARMINGTON RD,SW 202ND TER,Intersection/URBAN MINOR ARTERIAL,-122.884858757,45.469282755,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-04-08,11:00,NW WREN RD,NW LEISY RD,Straight Roadway/RURAL MAJOR COLLECTOR,-123.018624779,45.5616633388,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-28,07:00,SUNSET HY,WB EF 1ST ST C5,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-122.998576474,45.591352384,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-20,15:00,E BASELINE ST,N 14TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.054618109,45.5200593977,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-07-03,11:00,SW SCHOLLS FERRY RD,SW TEUFEL HILL AVE,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-122.897135853,45.4188215146,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-09,17:00,SW SCHOLLS FERRY RD,SW 135TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.815647233,45.4415673871,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-12,06:00,NW JACKSON SCHOOL RD,NW MASON HILL RD,Straight Roadway/RURAL MINOR COLLECTOR,-122.967240718,45.6049639443,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-02,02:00,SE 36TH AVE,SE CEDAR ST,Straight Roadway/URBAN LOCAL,-122.945611897,45.5153047376,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-09-05,10:00,SE OAK ST,SE 3RD AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.98624291,45.5188231304,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-03,12:00,NW RONLER DR,NW CORNELIUS PASS RD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.899989512,45.5431952079,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-10-22,16:00,SW TUALATIN-SHERWOOD,SW BOONES FERRY RD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.764895535,45.3812567534,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-02-23,07:00,OR 6,MP 41.46,Grade (vertical curve)/RURAL MINOR ARTERIAL,-123.255497136,45.6191194235,1,4,0,0,0,0,ODOT,,,extract-odot.py
2019-06-19,18:00,NE CORNELL RD,NE 28TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.953893286,45.530711337,0,1,0,0,0,1,ODOT,,,extract-odot.py
2019-07-03,12:00,PACIFIC AVE,LAUREL ST,Straight Roadway/URBAN MINOR ARTERIAL,-123.093063684,45.5201826022,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-04-28,18:00,SUNSET HWY,EB EX SCHOLLS FRY C1,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.749632036,45.5064828816,0,4,0,0,0,0,ODOT,,,extract-odot.py
2019-07-27,09:00,W BASELINE RD,SW CORNELIUS PASS RD,Intersection/URBAN MINOR ARTERIAL,-122.901031121,45.515298307,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-03-30,11:00,SW FARMINGTON RD,SW ROSE LN,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.818923837,45.4868231932,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-04,16:00,NW CORNELL RD,NW 169TH PL,Straight Roadway/URBAN MINOR ARTERIAL,-122.851675734,45.5339872433,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-03,14:00,NW TIMBER RD,SUNSET HY,Curve (horizontal curve)/RURAL MAJOR COLLECTOR,-123.293000994,45.7614205193,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-12,23:00,NW PHILLIPS RD,NW HELVETIA RD,Straight Roadway/RURAL MAJOR COLLECTOR,-122.918805216,45.5921779809,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-05,17:00,NW EVERGREEN RD,NE 13TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.973488794,45.5500227399,0,1,0,0,0,1,ODOT,,,extract-odot.py
2019-08-10,21:00,NE BROOKWOOD PKY,NW AIRPORT RD,Curve (horizontal curve)/URBAN MINOR ARTERIAL,-122.937010265,45.5434341109,1,1,0,0,0,0,ODOT,,,extract-odot.py
2019-08-26,18:00,WB EXTO HY 144 SB,SUNSET HWY,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.779492063,45.5091432147,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-08-03,14:00,SW ALLEN BLVD,SW WILSON AVE,Intersection/URBAN MINOR ARTERIAL,-122.819087514,45.4764657302,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-20,07:00,SW HOCKEN AVE,SW MILLIKAN WAY,Intersection/URBAN MAJOR COLLECTOR,-122.814787165,45.4914356276,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-02-17,11:00,JUNIPER ST,185TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867296936,45.5002359221,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-24,20:00,OR 6,MP 48.09,Straight Roadway/RURAL MINOR ARTERIAL,-123.135121352,45.6109027735,1,2,0,0,0,0,ODOT,,,extract-odot.py
2019-04-11,02:00,OR 99W,MP 19.35,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.896500964,45.321361648,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-01-19,19:00,NE CORNELL RD,NE 17TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.964476214,45.530689447,1,1,1,1,0,0,ODOT,,,extract-odot.py
2019-02-15,14:00,NW CORNELIUS PASS RD,NE WALBRIDGE ST,Straight Roadway/URBAN MINOR ARTERIAL,-122.899629376,45.5341367421,0,5,0,0,0,0,ODOT,,,extract-odot.py
2019-10-24,08:00,SW SCHOLLS FERRY RD,SW TEUFEL HILL AVE,Intersection/RURAL MINOR ARTERIAL,-122.888388199,45.4187275569,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-13,17:00,SUNSET HWY,WB EXTO BALTIC/98TH,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.770905417,45.5066527778,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-24,19:00,SW RIVER RD,SW ROSA RD,Straight Roadway/URBAN MINOR ARTERIAL,-122.939588365,45.4906777763,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-08-28,10:00,SW RIVER RD,SW FARMINGTON RD,Driveway or Alley/RURAL MINOR ARTERIAL,-122.938317942,45.4563084301,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-03-01,16:00,NW CORNELL RD,NW MURRAY BLVD,Driveway or Alley/URBAN MINOR ARTERIAL,-122.815458661,45.5271551863,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-09-14,10:00,SW 170TH AVE,SW OAK ST,Straight Roadway/URBAN MINOR ARTERIAL,-122.851850156,45.4760294218,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-02,21:00,SW PACIFIC HY 99W,SW ROYALTY PKY,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.795118415,45.4081286469,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-11-11,19:00,SW ROY ROGERS RD,SW ELSNER RD,Bridge Structure/URBAN MINOR ARTERIAL,-122.851855561,45.3887166401,1,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-01,17:00,SE RIVER RD,SE MINTER BRIDGE RD,Driveway or Alley/URBAN MINOR ARTERIAL,-122.961837895,45.503964651,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-07,02:00,SW MURRAY BLVD,SW TIERRA DEL MAR DR,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.826048515,45.4709158903,0,1,0,0,0,0,ODOT,,,extract-odot.py
